device_ip,port_number,protocol_used,packets_received,packets_forwarded,unusual_login_attempts,resources_shared,device_type,cpu_usage,memory_usage,storage_usage,device_uptime,os_version,connection_status,latency,error_rate,bandwidth_usage,data_transferred,security_level,vpn_status,firmware_version,last_maintenance_date,label,attack_type
192.168.2.32,25431,HTTP,1958,1972,6,8,mobile,58.92207652,20.48837937,38.68706569,94152,Windows 10,inactive,213.1835219,3.503771521,251.3468499,3655.738918,high,enabled,v6.7.1,7/6/2023,0,None
192.168.1.0,22214,HTTPS,3129,4212,9,0,server,38.26762199,80.53370375,16.22975647,52313,Linux,active,150.4503755,2.698645517,696.233575,6476.929271,low,enabled,v4.3.5,11/21/2021,0,None
192.168.2.0,23004,HTTPS,3252,640,1,17,server,93.21271974,46.76468994,36.35699744,50436,macOS,sleeping,252.3822949,3.726288949,150.1164205,5049.454409,medium,enabled,v6.8.2,9/3/2021,0,None
192.168.2.83,46217,HTTPS,7197,4761,5,35,mobile,30.6487216,93.82634984,1.622393369,34091,iOS,sleeping,457.3997657,3.367366481,391.8049725,709.2252929,high,disabled,v7.4.5,6/7/2021,0,None
192.168.3.0,38087,HTTPS,1615,3805,5,46,server,90.15761758,59.04680782,72.43603,97124,Linux,sleeping,311.3145096,1.126620555,529.8369616,359.4596178,high,disabled,v1.0.8,1/18/2023,0,None
192.168.1.246,33808,TCP,2706,151,5,43,IOT device,87.20339892,77.11459833,93.17588521,96828,Android,active,58.89534003,0.404993236,882.4128063,8417.51611,low,enabled,v8.5.1,2/4/2023,0,None
192.168.3.194,21634,TCP,3936,1374,6,48,IOT device,62.37688621,53.75727483,98.94975893,30990,Android,sleeping,96.45455253,3.500301396,207.0766404,5345.24321,medium,disabled,v4.7.3,12/19/2021,0,None
192.168.2.78,16849,HTTP,3229,3707,4,47,IOT device,26.01676361,24.86937447,71.10736093,6653,Linux,active,433.3006499,2.882875549,71.29573342,3213.702051,medium,enabled,v8.0.4,4/10/2019,0,None
192.168.3.212,56711,HTTPS,1381,279,10,29,PC,99.49489188,0.6686283,8.222603545,34067,Linux,active,375.3724306,1.704395986,587.6963611,4878.498945,high,disabled,v6.7.2,2/7/2020,0,None
192.168.1.104,34509,HTTPS,8670,2333,5,40,mobile,43.44594796,63.46281943,7.793215028,96158,Android,sleeping,150.1747578,3.222017453,245.4069874,9369.405204,high,disabled,v6.5.6,8/13/2023,0,None
192.168.2.228,44877,HTTP,5475,4962,7,8,PC,47.61951576,22.30923733,69.46108055,85138,iOS,inactive,460.8871458,3.60915658,218.1598162,230.1449506,high,enabled,v7.2.8,11/10/2022,0,None
192.168.1.61,3060,UDP,4817,85,3,5,IOT device,90.52264984,23.02370667,47.30010539,57267,iOS,inactive,46.76519515,3.736858716,142.8538085,4910.933369,medium,disabled,v9.2.5,5/8/2019,0,None
192.168.3.87,24373,HTTP,8276,3697,10,44,PC,8.451469215,38.86281126,79.94750862,68867,Android,active,470.963438,3.551035748,699.1379667,5779.3287,high,disabled,v4.3.3,4/11/2020,0,None
192.168.2.252,39838,TCP,3295,4008,3,4,mobile,19.32571016,87.6987934,57.41552902,56121,Linux,active,113.8175039,4.212067382,594.7516359,4512.617846,high,disabled,v8.6.9,5/11/2021,0,None
192.168.3.94,63608,TCP,2985,1760,10,21,PC,77.66248814,5.831494664,76.68592244,68651,Android,inactive,228.7112143,4.475275629,871.9425164,7820.292333,high,disabled,v2.8.9,3/2/2021,0,None
192.168.1.182,48434,UDP,2591,221,1,39,PC,79.94401231,17.91390349,66.63440015,93431,Linux,active,214.0767456,4.194146551,7.838914478,3659.695368,high,disabled,v10.8.4,3/5/2020,0,None
192.168.1.249,41006,HTTPS,4764,1925,8,25,IOT device,81.61544269,85.00629832,64.55138011,63889,Windows 10,sleeping,3.085796122,0.873092701,821.2243459,7651.262826,medium,enabled,v4.6.8,5/28/2020,0,None
192.168.2.94,52137,HTTP,6384,369,10,16,PC,61.06982724,29.52652999,41.9766745,74324,iOS,sleeping,217.981285,0.443097259,564.7484094,8719.409514,medium,enabled,v2.6.0,4/11/2022,0,None
192.168.3.11,32901,FTP,9599,3354,1,38,PC,93.93903212,0.74558282,40.79671614,45509,Windows 10,inactive,493.503273,1.090716459,230.7977919,9218.534047,high,enabled,v5.0.5,1/23/2021,0,None
192.168.1.83,6603,HTTP,7526,1407,9,14,IOT device,88.78601762,51.36109001,17.93645987,30531,Android,inactive,286.3611223,0.167608377,2.022597061,6810.153361,low,disabled,v9.1.2,12/14/2021,0,None
192.168.3.235,6972,UDP,6200,922,5,11,IOT device,42.83961728,32.54377126,22.2967057,49776,macOS,inactive,287.0408095,3.10106583,26.73205596,5412.673717,medium,enabled,v2.0.0,6/16/2020,0,None
192.168.3.23,6640,SMTP,7545,2079,7,8,mobile,21.71452293,80.65990193,7.748156931,84380,iOS,sleeping,154.0585278,0.887043409,4.457818055,6132.459844,medium,enabled,v4.9.2,10/6/2019,0,None
192.168.3.6,42630,TCP,5107,1248,0,16,IOT device,77.4284323,27.75265685,28.95052634,20047,Windows 10,sleeping,233.6736563,0.004914254,921.5827147,2157.252738,medium,enabled,v9.2.1,9/21/2019,0,None
192.168.1.236,53252,TCP,2284,1712,7,26,PC,61.82268365,29.53464996,34.92694048,78304,iOS,inactive,462.3684312,3.41065964,67.92523536,4714.742806,high,enabled,v2.2.2,3/2/2022,0,None
192.168.3.24,47293,UDP,791,4353,9,16,mobile,47.6855044,3.311532491,7.905790271,69818,Windows 10,sleeping,426.4229254,4.908036468,482.4999041,7112.880633,low,disabled,v4.1.3,7/16/2023,0,None
192.168.3.103,25938,FTP,7821,4936,8,14,IOT device,29.54107571,97.06949118,3.208895926,73351,Linux,active,33.76652243,3.554351001,382.392157,9058.332811,high,disabled,v10.7.1,12/24/2021,1,DDOS
192.168.1.215,12716,FTP,5555,920,9,34,IOT device,56.45342999,14.17407325,86.21657011,40989,Android,active,27.66102792,0.507013221,108.4790645,3517.461314,high,disabled,v10.0.2,7/22/2021,0,None
192.168.3.207,51052,SMTP,9286,3602,6,32,IOT device,97.76298789,1.504436896,92.02761453,73074,Linux,active,311.9403261,3.270585458,782.4511618,6887.860629,high,enabled,v4.3.7,7/26/2021,1,DDOS
192.168.2.26,23765,SMTP,5888,375,5,2,IOT device,88.79880805,11.0456446,61.08539867,70482,Linux,inactive,219.8642028,4.307796499,598.0433061,9729.659885,medium,disabled,v9.0.4,7/20/2020,0,None
192.168.3.58,11802,FTP,4710,2886,5,25,PC,21.38543244,58.60194743,4.065033395,95846,Windows 10,sleeping,347.9742159,4.725742603,860.2066228,1166.562117,high,enabled,v3.7.4,8/27/2022,0,None
192.168.1.201,54964,HTTPS,9831,3277,1,24,mobile,46.68229683,9.380522865,43.36436012,70456,Windows 10,active,323.2451442,1.119300397,785.8435177,1501.72448,high,disabled,v2.0.6,4/15/2020,0,None
192.168.1.17,4604,FTP,5128,1267,8,15,mobile,14.22975803,90.48777206,44.00584954,88196,macOS,inactive,426.3571283,0.590092542,849.0161984,5935.363658,medium,disabled,v5.9.3,8/1/2020,0,None
192.168.3.127,53388,SMTP,2505,1738,7,20,PC,95.32281515,99.49102678,26.70508874,14874,iOS,inactive,499.5699631,3.21087129,197.4371788,7550.241032,high,enabled,v9.9.0,7/22/2020,0,None
192.168.2.75,36323,UDP,5780,3305,6,32,mobile,2.952006165,23.41828326,30.37536911,41697,iOS,inactive,388.5664202,0.015533557,717.6056897,5460.103665,medium,disabled,v3.6.0,9/25/2023,0,None
192.168.2.18,46137,UDP,374,807,1,23,PC,60.11172114,95.61273961,72.9481621,30206,Windows 10,active,214.5597302,0.516110532,679.333984,7143.391175,high,disabled,v4.7.8,4/10/2019,0,None
192.168.3.126,14856,TCP,9897,3535,4,31,mobile,95.61461938,94.53729876,35.85764166,25822,iOS,inactive,16.14521965,2.475673812,797.1450231,7640.908135,low,enabled,v5.9.5,11/16/2020,0,None
192.168.3.202,16398,TCP,8175,1079,10,8,PC,97.1992478,20.42119099,33.81325584,2162,iOS,inactive,355.183964,2.703538833,348.1478651,3192.277481,high,enabled,v3.6.5,10/11/2021,0,None
192.168.2.166,58093,SMTP,2464,907,9,22,PC,54.6129097,81.21526454,70.69269048,31017,Windows 10,active,290.6403375,2.279864063,764.3593128,2754.229742,low,disabled,v6.5.6,9/22/2019,0,None
192.168.1.129,28026,FTP,6007,2159,0,28,IOT device,98.17591682,77.16269402,31.18872261,68845,macOS,active,14.7977993,3.471879725,357.5558713,9796.774889,medium,enabled,v10.8.7,7/7/2022,0,None
192.168.2.139,13697,HTTP,6780,2794,5,24,mobile,4.732506344,60.57845467,65.7209371,57342,Windows 10,inactive,452.1973087,4.096121563,137.6033782,7523.238109,high,enabled,v6.7.5,9/15/2021,0,None
192.168.2.116,52817,UDP,7647,1433,5,14,mobile,94.65380119,16.02284402,67.52073609,38778,Linux,inactive,425.246844,4.327650182,751.1605335,2624.469295,medium,disabled,v4.1.3,5/12/2021,0,None
192.168.2.217,59279,SMTP,4347,4373,8,37,PC,17.66958238,61.93413453,72.56784412,53339,Android,sleeping,43.53779505,4.662441783,887.3270749,7349.383349,high,disabled,v2.2.1,11/8/2021,0,None
192.168.3.155,22292,SMTP,7513,1131,7,45,PC,86.36836851,12.34912553,55.85336744,47578,Android,active,450.9645526,0.853281904,330.3961512,1961.201405,medium,enabled,v2.0.7,8/20/2021,0,None
192.168.3.131,17328,UDP,6462,2598,1,43,PC,37.8174125,73.90736178,53.5439811,6463,iOS,sleeping,103.4694383,0.49920126,968.7109321,783.0598565,high,disabled,v9.9.3,7/26/2020,0,None
192.168.2.232,5523,UDP,9431,216,3,34,PC,78.99931971,4.823194268,26.60050534,87196,macOS,sleeping,81.21084642,1.915907795,881.0241296,8533.62489,high,disabled,v7.3.3,5/12/2022,0,None
192.168.1.222,43471,UDP,3717,3834,9,30,mobile,46.03921696,29.74871126,72.50063401,73257,Windows 10,inactive,385.0588207,4.501801904,182.9767103,316.0213884,high,enabled,v5.0.5,10/3/2022,0,None
192.168.2.182,54877,SMTP,3326,848,8,38,PC,62.48036766,98.87233394,2.978369831,22632,iOS,sleeping,328.1956447,2.063681716,415.1506234,7450.282015,low,disabled,v8.5.0,2/1/2023,0,None
192.168.2.175,17115,HTTPS,7752,1909,7,46,mobile,17.10115351,32.23744999,10.79320902,55545,Android,active,109.0767508,2.191027817,537.0470208,8127.236516,medium,enabled,v1.5.4,4/24/2021,0,None
192.168.2.125,50592,HTTP,9710,3721,8,6,IOT device,57.27668277,1.266176603,2.475892561,62165,Android,active,450.9654852,0.026500773,36.21731539,6913.195538,medium,enabled,v5.1.9,5/11/2020,0,None
192.168.3.35,40132,TCP,8546,4921,10,49,PC,13.09023776,81.65992744,72.94972169,17547,iOS,sleeping,65.46905029,4.714771742,389.1199542,6161.603387,low,disabled,v6.1.9,10/7/2019,0,None
192.168.3.102,47534,UDP,24,1029,5,18,mobile,26.39547944,15.57368601,50.03770355,18256,Windows 10,inactive,494.1551992,1.870915277,76.46314059,4363.55943,high,disabled,v5.0.1,3/21/2023,0,None
192.168.3.37,25675,FTP,7961,2980,2,11,mobile,84.04879999,97.3573714,65.59562106,31549,Windows 10,sleeping,284.6033748,2.856837639,149.4424297,564.8830487,low,disabled,v8.5.0,7/19/2023,0,None
192.168.3.114,42485,HTTP,6357,1236,10,29,IOT device,23.56181326,17.98915446,75.43663905,65245,Android,inactive,204.6731701,4.220898869,67.55689838,7149.839223,high,disabled,v5.9.8,9/18/2021,0,None
192.168.2.40,37789,HTTP,6816,3058,1,1,PC,92.52411463,87.43937076,34.1893375,15969,Linux,sleeping,39.9258956,2.938056129,538.2238182,249.0011867,high,disabled,v4.3.1,7/25/2022,0,None
192.168.3.77,33701,HTTP,1664,2991,2,35,PC,69.63491653,67.88909759,13.32332599,92889,Windows 10,active,413.4514892,3.693317942,608.0427385,1034.222353,high,disabled,v9.0.3,9/4/2022,1,Unknown Attack
192.168.2.129,41400,TCP,8136,2045,10,46,IOT device,24.18706605,43.11602719,56.19598028,62480,iOS,inactive,19.30799134,2.742651958,660.0922388,3356.024336,low,enabled,v1.9.3,11/11/2022,1,DDOS
192.168.1.70,20521,HTTPS,1031,2186,7,20,IOT device,22.20649091,90.3660104,68.41851393,97740,macOS,active,489.7683106,2.847206548,92.45181081,5348.380138,high,enabled,v1.0.1,6/27/2022,0,None
192.168.3.91,22265,HTTPS,3670,632,7,22,mobile,67.62731067,98.11520025,51.42356082,7972,Android,sleeping,8.371317911,0.871810337,528.8865001,6970.795328,low,enabled,v3.5.3,12/14/2021,0,None
192.168.3.136,3936,TCP,8729,1334,2,7,mobile,88.15087266,54.38413184,91.09761384,30059,Android,sleeping,108.0661551,2.615038686,549.0272732,612.4698912,low,disabled,v3.5.4,4/14/2023,1,DDOS
192.168.2.177,9160,TCP,4021,65,8,34,PC,86.61505327,31.9633643,15.33993747,20259,macOS,active,288.2353058,3.9419999,647.3145161,6999.164428,low,disabled,v4.8.7,4/24/2021,0,None
192.168.1.248,48523,SMTP,5844,640,4,20,PC,94.87200912,26.44639242,71.02433561,33641,Linux,sleeping,277.6980677,1.952549317,362.3925838,2497.12064,low,enabled,v2.1.8,11/20/2022,0,None
192.168.2.73,42683,HTTP,1890,4422,10,43,mobile,94.96211296,56.26291497,67.8243611,26776,Linux,sleeping,63.98189699,1.039190198,387.7136066,6641.535609,medium,enabled,v10.7.1,1/17/2023,0,None
192.168.3.248,8530,TCP,4119,4652,9,14,IOT device,92.69220987,65.93926495,88.10247535,53303,macOS,sleeping,87.99848586,4.09666454,537.2158058,3571.079747,low,enabled,v10.8.1,4/13/2022,1,DDOS
192.168.2.34,13236,HTTP,4316,4654,0,48,mobile,44.70251299,59.59533006,63.47368617,69829,macOS,inactive,81.38672815,0.260498653,239.1490144,2120.47464,low,disabled,v3.9.2,4/18/2023,0,None
192.168.1.57,63656,SMTP,5849,4915,10,10,PC,7.554644464,29.59291054,0.89087305,4112,macOS,active,479.3668607,0.698598284,675.32824,6519.109771,medium,disabled,v7.0.5,4/5/2022,0,None
192.168.2.204,43036,HTTPS,954,4676,9,8,PC,63.82721424,13.74993618,50.35280352,30149,macOS,inactive,380.7117408,0.780101813,508.3398083,1261.995004,medium,disabled,v3.7.9,11/25/2020,1,DDOS
192.168.1.191,20933,FTP,1958,1341,9,14,IOT device,1.971288053,87.76719919,99.43599479,95772,Android,inactive,299.3072802,2.50779349,521.6644326,220.4643036,medium,disabled,v8.5.8,4/14/2019,0,None
192.168.1.181,32598,HTTPS,9283,2630,5,40,mobile,45.50826687,51.87366762,19.76768026,61552,macOS,sleeping,212.1529789,3.932745356,831.2217397,3935.541352,high,disabled,v4.4.1,2/9/2023,0,None
192.168.3.18,16989,SMTP,681,4664,4,22,PC,11.50341911,57.64822376,42.73631391,83907,iOS,active,47.09918969,4.234874995,829.5702437,660.3726683,medium,enabled,v1.7.8,1/9/2020,0,None
192.168.3.116,9907,SMTP,3477,2318,3,40,IOT device,23.6315686,7.846782105,8.824574366,19527,Linux,inactive,282.2316127,1.793551814,956.1837354,4165.618075,high,enabled,v4.7.0,6/14/2023,0,None
192.168.1.252,65063,FTP,2882,4380,0,23,mobile,58.94325463,70.62048896,7.540074709,57924,Linux,inactive,21.53883578,4.14606815,889.1735764,8652.104053,high,enabled,v2.7.0,2/19/2020,0,None
192.168.3.205,1139,HTTP,513,4115,4,33,mobile,78.44536739,29.70949224,80.58364359,26733,Linux,inactive,238.1082723,1.878541812,521.5802505,6560.159536,low,enabled,v3.0.5,5/15/2021,1,DDOS
192.168.3.10,36204,HTTPS,8343,4417,2,13,PC,87.87845028,99.97095453,30.76143863,61194,Windows 10,inactive,196.1900778,0.522733957,526.445836,2467.855077,high,enabled,v6.4.9,3/28/2019,0,None
192.168.1.142,31858,TCP,3690,2414,8,12,IOT device,80.73129799,44.80291824,51.30816936,27469,Android,sleeping,261.0984357,1.994355169,337.5575704,4972.977571,low,enabled,v9.4.3,10/6/2023,0,None
192.168.1.136,63185,UDP,2824,3197,5,4,PC,89.63676704,90.36016621,32.58027167,54269,macOS,active,371.9133828,4.100884096,293.5912957,297.730225,medium,disabled,v5.3.4,4/3/2019,0,None
192.168.3.201,18096,UDP,3925,346,6,7,mobile,63.87227202,12.23267822,20.13901397,58700,Linux,active,97.54947163,0.317936758,771.0712708,6852.935686,low,disabled,v10.7.1,3/18/2023,0,None
192.168.2.253,61603,HTTPS,1114,2678,5,5,PC,59.97317459,9.339319367,84.41752195,33349,Windows 10,active,260.3032476,0.390023357,44.01377573,2655.480119,medium,disabled,v10.8.7,4/23/2019,0,None
192.168.1.186,21743,HTTP,8521,4918,1,6,PC,66.06383191,26.20448762,98.60544261,29515,Windows 10,active,475.7557061,1.531935904,341.1984838,3240.866841,medium,enabled,v4.7.2,10/21/2022,0,None
192.168.1.23,63058,HTTPS,7262,118,5,18,PC,5.826789261,96.71379724,10.70405986,51554,macOS,inactive,385.5368509,3.775497972,772.3875804,8092.393336,high,disabled,v8.7.5,3/5/2021,0,None
192.168.3.223,49334,TCP,5484,610,10,25,mobile,28.66685943,61.98989841,68.04698549,13353,Windows 10,inactive,147.5836655,3.988808091,509.5873358,5382.599522,low,disabled,v4.5.9,9/11/2021,0,None
192.168.2.47,24229,SMTP,5201,447,9,16,IOT device,17.5142514,55.90559245,91.97523132,11851,macOS,active,427.0558804,4.802710711,554.4606006,5069.398368,high,disabled,v6.0.9,3/15/2021,0,None
192.168.3.195,25548,HTTP,9126,2957,6,10,IOT device,72.56979151,14.44607876,88.17276406,71567,Linux,inactive,8.577183634,2.042861867,452.8232892,7574.292207,low,disabled,v8.1.6,8/4/2019,0,None
192.168.2.213,26106,HTTP,9610,2851,3,2,PC,17.52439337,19.88577626,51.14543041,55764,Android,inactive,426.6770756,4.147586615,969.9146823,5191.658272,high,enabled,v2.2.3,5/21/2020,0,None
192.168.1.21,54223,SMTP,4177,2172,9,47,mobile,24.060568,8.870793051,57.31293967,41001,Windows 10,sleeping,301.841894,1.104710391,494.7789857,386.4602863,medium,enabled,v5.5.1,3/20/2022,0,None
192.168.3.12,56351,HTTP,4694,4761,0,29,IOT device,48.82206405,19.14702019,1.267949445,28753,Windows 10,inactive,224.8988954,4.714149568,699.1214655,7731.500546,low,disabled,v8.2.3,3/16/2023,0,None
192.168.1.118,21198,TCP,2678,4229,4,3,IOT device,0.747644011,96.13380848,86.56741815,11074,macOS,active,246.1768448,1.191367647,707.3763232,2180.674217,high,enabled,v6.2.3,12/19/2020,0,None
192.168.1.179,3535,FTP,8225,4555,9,10,mobile,72.76099737,81.05784196,10.45832074,90507,Windows 10,inactive,251.4924954,0.360740945,112.8381663,2895.773785,low,disabled,v7.6.3,12/2/2020,0,None
192.168.1.38,7744,TCP,1145,2755,6,31,PC,75.765678,15.54385869,14.16698539,22871,Android,sleeping,272.6324013,4.591641093,909.3257423,9662.324221,medium,disabled,v6.8.8,8/7/2020,0,None
192.168.3.101,20568,FTP,2372,606,5,25,mobile,30.12573364,70.82869423,72.83905135,26795,Android,sleeping,499.0750025,3.839535536,550.3205073,3974.316943,medium,disabled,v8.9.6,9/19/2020,0,None
192.168.2.105,8134,HTTP,2519,224,7,17,IOT device,81.49229923,81.67799608,22.16287287,82247,Linux,active,486.6812279,4.713035709,32.8813304,9005.010808,low,enabled,v8.4.0,8/9/2021,0,None
192.168.1.50,15967,HTTPS,6775,3113,10,30,mobile,52.71033102,8.516043911,5.798538045,82884,Windows 10,sleeping,330.9505705,2.448292532,494.8201201,978.0715747,high,disabled,v5.0.2,3/8/2022,0,None
192.168.2.108,52526,FTP,906,2299,0,1,IOT device,75.94667754,12.98682394,92.54447294,24675,iOS,inactive,184.3950604,2.7051983,560.9139184,7246.211173,medium,enabled,v9.1.3,9/13/2021,0,None
192.168.3.69,27898,FTP,1299,666,7,49,mobile,14.69073098,12.64880543,11.59160992,90979,Android,inactive,391.5231343,2.589476985,213.8785166,556.5812027,high,disabled,v1.6.6,9/20/2023,0,None
192.168.3.252,10315,HTTP,5012,4428,2,17,PC,20.78240837,1.177210252,15.92396927,77454,Linux,inactive,46.36102876,0.372456673,267.3615327,9059.747186,medium,disabled,v8.1.0,1/2/2021,0,None
192.168.2.214,36527,HTTPS,5577,3267,4,9,mobile,37.987826,81.75017628,82.26603145,9603,iOS,active,308.0849466,0.165515582,717.9792324,1390.497492,high,disabled,v1.3.4,9/10/2020,0,None
192.168.1.56,61559,HTTPS,1112,3726,1,49,IOT device,77.46742698,85.14080061,7.35813171,57020,iOS,active,112.9921243,2.482132717,155.2060262,8097.617975,high,enabled,v2.2.1,4/22/2022,0,None
192.168.2.200,26295,FTP,73,2346,2,32,IOT device,25.04147591,45.11966405,23.53706484,98948,iOS,inactive,160.4686688,1.648307814,188.1223671,1790.776051,low,enabled,v10.1.3,10/7/2021,0,None
192.168.3.213,4638,UDP,1707,1334,0,45,mobile,80.51034508,78.40645541,63.95648346,52736,Windows 10,inactive,174.8943107,2.615056367,476.4756394,2427.339947,low,disabled,v1.6.6,12/8/2020,0,None
192.168.1.154,2616,HTTP,2020,4508,7,46,mobile,33.51398322,53.49708555,37.30775661,47578,Android,sleeping,374.916704,3.148920086,940.5701898,662.8338911,high,enabled,v1.9.4,10/13/2020,0,None
192.168.2.49,65128,UDP,1510,453,3,7,PC,76.40269535,97.98752305,42.41992448,3329,iOS,active,100.2191654,3.477674399,929.1549162,39.47514486,high,disabled,v9.2.6,12/4/2021,0,None
192.168.3.187,8918,UDP,857,4874,3,46,IOT device,30.18809315,71.0419972,17.30457107,10568,iOS,sleeping,441.1908982,3.533476518,685.4267163,856.2226545,medium,enabled,v4.2.6,8/22/2022,0,None
192.168.1.243,53951,UDP,2189,2953,1,49,IOT device,44.25681166,10.48807987,77.59081353,12534,iOS,active,75.03393183,1.768716369,936.7829153,1834.001307,low,enabled,v7.1.7,10/14/2021,0,None
192.168.3.189,30092,UDP,7198,897,6,24,IOT device,1.691689163,53.66897331,89.03229314,41919,Android,sleeping,226.2201711,1.190821086,914.3629294,5891.453686,low,enabled,v1.8.4,6/15/2019,1,Brute Force
192.168.3.183,34983,SMTP,8647,882,0,18,mobile,23.50326204,58.37578042,42.1182499,37428,Windows 10,sleeping,104.7254362,1.655171963,921.7574916,1529.105929,low,disabled,v8.6.6,1/17/2019,1,DDOS
192.168.1.149,3924,TCP,4085,453,9,16,PC,28.84057811,29.96837149,87.53188734,94094,iOS,active,356.6242293,3.515298513,133.5635332,8592.960691,high,enabled,v1.1.6,12/8/2022,0,None
192.168.2.66,58004,TCP,4835,3854,0,8,mobile,70.85922443,47.91394363,40.38450353,10714,Windows 10,inactive,421.3014367,4.731608158,276.5674794,5872.470354,low,enabled,v1.6.4,2/3/2023,0,None
192.168.2.12,46071,HTTPS,8187,271,0,23,IOT device,0.963339568,71.37152802,17.61885797,63712,Android,sleeping,499.8294166,3.897841065,446.7052274,3032.585557,low,enabled,v1.6.4,7/2/2021,0,None
192.168.1.231,16893,TCP,6774,4109,9,40,PC,49.24960791,23.54066792,73.15169937,14025,macOS,sleeping,275.890927,0.382985064,746.7319058,666.6729477,low,disabled,v7.4.3,1/1/2023,0,None
192.168.1.253,48253,FTP,164,2805,2,3,mobile,35.81535187,53.24711205,20.89143424,23496,macOS,inactive,131.5739726,2.84785418,475.456103,7529.461363,high,enabled,v9.1.4,8/13/2019,0,None
192.168.1.111,16552,HTTP,1897,938,5,25,mobile,5.618533189,93.06622054,75.45092992,89239,Windows 10,inactive,474.8831226,2.743009353,598.9615635,2318.228103,low,enabled,v3.3.3,11/17/2021,0,None
192.168.3.163,34328,TCP,2506,2674,2,11,PC,2.64199502,55.75351233,6.670645049,44681,Linux,sleeping,452.5122562,3.296962959,716.8499233,6414.935076,medium,enabled,v8.6.8,2/24/2021,0,None
192.168.2.92,8581,HTTP,7771,4175,2,2,PC,23.82400757,29.38852695,36.859092,87602,iOS,sleeping,344.4881259,1.756451307,684.0165374,38.86001811,high,enabled,v9.7.4,5/12/2019,0,None
192.168.3.134,44505,SMTP,860,887,3,14,IOT device,51.67632216,16.48939192,20.17307332,42430,Linux,sleeping,130.2722924,1.296206882,237.8355679,4578.849791,high,enabled,v9.7.7,9/12/2019,0,None
192.168.3.2,46829,SMTP,8055,287,4,6,PC,14.04604137,11.21436554,19.5136991,71137,macOS,inactive,229.0068472,0.07645173,800.20851,1322.940801,medium,enabled,v2.1.3,11/27/2020,0,None
192.168.3.112,46026,SMTP,5403,1834,6,5,PC,21.46416993,90.01320456,68.92252243,25538,Windows 10,inactive,386.9642267,4.599749452,600.5576662,5760.819036,high,enabled,v5.5.8,2/13/2020,0,None
192.168.1.53,26816,SMTP,9087,4027,0,42,mobile,35.49472034,30.11432736,29.04315709,61355,Android,inactive,136.1734538,1.60179912,248.7632488,5669.883751,low,disabled,v5.6.8,12/13/2023,0,None
192.168.2.167,54212,TCP,4045,1848,2,27,IOT device,43.96861283,14.6526149,23.54659341,39093,Windows 10,sleeping,292.0273402,3.925526218,728.5179266,1717.773631,low,enabled,v1.7.3,3/25/2019,0,None
192.168.1.11,6487,UDP,9569,591,4,10,mobile,7.328389579,19.70545488,79.84045032,54675,Linux,inactive,85.57844678,3.440965376,470.5276416,1035.818079,low,enabled,v6.5.6,5/4/2019,0,None
192.168.2.136,56538,TCP,2221,4750,6,1,IOT device,82.12525421,33.88070927,30.37939921,23543,Windows 10,sleeping,49.19884017,2.272281265,242.7301928,4679.275115,low,enabled,v3.0.1,9/26/2021,0,None
192.168.1.55,65452,UDP,5414,2696,8,9,IOT device,19.16263393,23.31482634,63.84088074,31971,Windows 10,sleeping,30.40568237,0.817850124,818.0849164,2394.278469,low,disabled,v6.3.0,4/4/2019,0,None
192.168.1.42,18378,HTTPS,2841,3618,1,50,IOT device,59.29377886,28.49987533,59.86206342,20678,macOS,inactive,268.0992935,1.459940359,328.8457243,7825.764902,low,disabled,v10.7.6,9/26/2020,0,None
192.168.1.124,37360,FTP,8153,1387,2,48,mobile,65.81378289,12.67403527,62.33148472,83322,Windows 10,active,476.8430876,4.920340144,307.6360809,5731.967926,medium,disabled,v7.1.9,10/13/2022,0,None
192.168.1.100,37271,TCP,428,4507,6,21,mobile,83.14975809,78.40865927,54.05822241,80401,Android,sleeping,0.52285116,2.669130912,463.8970529,938.4913718,low,disabled,v7.2.2,10/25/2019,1,DDOS
